title,description,publisher,developer,age,effective_date,platforms,price
Kingdom Come: Deliverance,Kingdom Come: Deliverance,Warhorse Studios,,18.0,2020-02-13T16:00:00.000Z,Windows,$29.99
Aztez,Aztez,Team Colorblind,,,2020-02-13T16:00:00.000Z,"Windows,Mac",$19.99
Zombie Army 4: Dead War,Zombie Army 4 Dead War,Team Colorblind,,,2020-02-04T16:00:00.000Z,"Windows,Mac",$49.99
Days of War Editor,Days of War Editor,Team Colorblind,,,2020-01-30T18:00:00.000Z,Windows,0
Farming Simulator 19,Farming Simulator 19,Focus Home Interactive,,,2020-01-30T16:00:00.000Z,Windows,$24.99
The Bridge,The Bridge,The Quantum Astrophysicists Guild,,,2020-01-23T16:00:00.000Z,Windows,$9.99
Vampyr,Vampyr,The Quantum Astrophysicists Guild,,18.0,2019-02-17T15:00:00.000Z,Windows,$49.99
Overpass,Overpass Standard Editon,Bigben Interactive,,,2020-02-26T16:00:00.000Z,Windows,$39.99
Horace,Horace,505 Games,,,2020-01-16T16:00:00.000Z,Windows,$14.99
Sundered Eldritch Edition,Sundered Eldritch Edition,Thunder Lotus,,,2020-01-09T16:00:00.000Z,"Windows,Mac",$19.99
Darksiders II Deathinitive Edition,Darksiders II Deathinitive Edition,THQ Nordic,,,2020-01-01T16:00:00.000Z,Windows,$29.99
Steep,Steep,THQ Nordic,,,2020-01-01T16:00:00.000Z,Windows,$29.99
Darksiders Warmastered Edition,Darksiders Warmastered Edition,THQ Nordic,,,2020-01-01T16:00:00.000Z,Windows,$19.99
Yooka-Laylee and the Impossible Lair,Yooka-Laylee and the Impossible Lair,Team17 Digital Ltd,,,2019-12-31T13:00:00.000Z,Windows,$29.99
Hello Neighbor,Hello Neighbor,tinyBuild,,,2019-12-30T16:00:00.000Z,Windows,$29.99
The Talos Principle,The Talos Principle,Devolver Digital,,,2019-12-29T16:00:00.000Z,Windows,$39.99
Shadow Tactics,Shadow Tactics: Blades of the Shogun,Daedalic Entertainment,,,2019-12-28T16:00:00.000Z,Windows,$39.99
Hyper Light Drifter,Hyper Light Drifter,Daedalic Entertainment,,,2019-08-08T00:00:00.000Z,Windows,$19.99
Faster Than Light,Faster Than Light,Subset Games,,,2019-12-26T16:00:00.000Z,"Windows,Mac",$9.99
Totally Accurate Battle Simulator,Totally Accurate Battle Simulator,Landfall games,,,2019-12-25T16:00:00.000Z,"Windows,Mac",$14.99
Metro Exodus,Metro Exodus Standard Edition,Deep Silver,,18.0,2019-04-01T09:39:00.000Z,Windows,$39.99
Little Inferno,Little Inferno,Deep Silver,,,2019-05-13T08:00:00.000Z,"Windows,Mac",$14.99
SUPERHOT,SUPERHOT,SUPERHOT Sp. z.o.o,,,2019-12-21T16:00:00.000Z,Windows,$24.99
TowerFall Ascension,Towerfall Ascension The Dark World,Matt Makes Games,,,2019-12-20T16:00:00.000Z,"Windows,Mac,Win32",$19.99
Into The Breach,Into The Breach,Subset Games,,,2019-12-19T16:00:00.000Z,"Windows,Mac",$14.99
Totally Reliable Delivery Service,Totally Reliable Delivery Service,Tinybuild LLC,,,2020-04-01T15:00:00.000Z,"Windows,Mac",$14.99
Predator: Hunting Grounds,Predator Hunting Ground Pre-Purchase,Sony Interactive Entertainment,,18.0,2019-12-09T17:00:00.000Z,Windows,$39.99
Jotun Valhalla Edition,Jotun Valhalla Edition,Thunder Lotus Games,,,2019-12-05T16:00:00.000Z,"Windows,Mac",$14.99
Rebel Galaxy Outlaw,Rebel Galaxy Outlaw,Thunder Lotus Games,,18.0,2019-08-02T19:00:00.000Z,Windows,$29.99
Outer Wilds,Outer Wilds,Annapurna Interactive,,,2019-05-28T15:00:00.000Z,Windows,$24.99
Maneater,Maneater Pre-Purchase,Annapurna Interactive,,18.0,2019-07-25T11:00:00.000Z,Windows,$39.99
